2016-05-16	1234139-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	复合维生素/矿物质	72.0	NULL	美国	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	active
2016-06-10	1234332-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	维生素A/胡萝卜素	31.0	NULL	美国	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	active
2016-07-05	1234139-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	复合维生素/矿物质	72.0	NULL	美国	NULL	64.0	60.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2016-07-19	1234332-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	维生素A/胡萝卜素	31.0	NULL	美国	10.0	154.0	124.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2016-08-22	1234139-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	复合维生素/矿物质	72.0	NULL	美国	NULL	78.0	69.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2016-09-08	1234332-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	维生素A/胡萝卜素	31.0	NULL	美国	NULL	0.0	0.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2016-10-06	1234332-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	维生素A/胡萝卜素	31.0	0.0	美国	NULL	2.0	1.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2016-10-29	1234139-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	复合维生素/矿物质	72.0	0.0	美国	NULL	8.0	3.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2016-11-05	1390278-68a3e5516d7a7dc21fbe0e7ee13bfc1c	MINON	面膜/面膜粉	102.0	0.0	日本	9.0	498.0	357.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2016-11-23	1234332-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	维生素A/胡萝卜素	31.0	0.0	美国	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	active
2016-12-18	1234139-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	复合维生素/矿物质	72.0	0.0	美国	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	active
2016-12-22	1390278-68a3e5516d7a7dc21fbe0e7ee13bfc1c	MINON	面膜/面膜粉	106.0	0.0	日本	NULL	3.0	2.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2017-01-01	1234332-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	维生素A/胡萝卜素	31.0	0.0	美国	NULL	1.0	1.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2017-02-08	1390278-68a3e5516d7a7dc21fbe0e7ee13bfc1c	MINON	面膜/面膜粉	106.0	0.0	日本	9.0	554.0	454.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2017-02-12	1234139-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	复合维生素/矿物质	99.0	0.0	美国	1.0	12.0	11.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2017-02-27	1429160-68a3e5516d7a7dc21fbe0e7ee13bfc1c	MARC JACOBS 马克雅克布	女士香水	298.0	0.0	美国	16.0	907.0	684.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2017-03-25	1390278-68a3e5516d7a7dc21fbe0e7ee13bfc1c	MINON	面膜/面膜粉	74.0	0.0	日本	59.0	588.0	383.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2017-03-27	1234332-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	维生素A/胡萝卜素	31.0	0.0	美国	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	active
2017-04-01	1234139-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	复合维生素/矿物质	99.0	0.0	美国	NULL	3.0	3.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2017-04-16	1429160-68a3e5516d7a7dc21fbe0e7ee13bfc1c	MARC JACOBS 马克雅克布	女士香水	298.0	0.0	美国	15.0	868.0	682.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2017-05-14	1390278-68a3e5516d7a7dc21fbe0e7ee13bfc1c	MINON	面膜/面膜粉	72.0	0.0	日本	NULL	78.0	64.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2016-05-29	1234332-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	维生素A/胡萝卜素	31.0	NULL	美国	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	active
2016-07-04	1234139-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	复合维生素/矿物质	72.0	NULL	美国	NULL	53.0	49.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2016-07-18	1234332-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	维生素A/胡萝卜素	31.0	NULL	美国	14.0	138.0	91.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2016-08-21	1234139-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	复合维生素/矿物质	72.0	NULL	美国	NULL	74.0	67.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2016-09-07	1234332-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	维生素A/胡萝卜素	31.0	NULL	美国	NULL	2.0	1.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2016-10-05	1234332-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	维生素A/胡萝卜素	31.0	0.0	美国	NULL	5.0	3.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2016-10-28	1234139-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	复合维生素/矿物质	72.0	0.0	美国	NULL	1.0	1.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2016-11-04	1390278-68a3e5516d7a7dc21fbe0e7ee13bfc1c	MINON	面膜/面膜粉	102.0	0.0	日本	13.0	723.0	524.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2016-11-22	1234332-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	维生素A/胡萝卜素	31.0	0.0	美国	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	active
2016-12-17	1234139-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	复合维生素/矿物质	72.0	0.0	美国	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	active
2016-12-21	1390278-68a3e5516d7a7dc21fbe0e7ee13bfc1c	MINON	面膜/面膜粉	102.0	0.0	日本	NULL	3.0	3.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2017-01-09	1429160-68a3e5516d7a7dc21fbe0e7ee13bfc1c	MARC JACOBS 马克雅克布	女士香水	298.0	0.0	美国	7.0	593.0	197.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2017-02-07	1390278-68a3e5516d7a7dc21fbe0e7ee13bfc1c	MINON	面膜/面膜粉	106.0	0.0	日本	22.0	736.0	619.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2017-02-09	1234332-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	维生素A/胡萝卜素	31.0	0.0	美国	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	active
2017-02-11	1234139-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	复合维生素/矿物质	99.0	0.0	美国	1.0	21.0	13.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2017-02-26	1429160-68a3e5516d7a7dc21fbe0e7ee13bfc1c	MARC JACOBS 马克雅克布	女士香水	298.0	0.0	美国	19.0	1065.0	790.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2017-03-24	1390278-68a3e5516d7a7dc21fbe0e7ee13bfc1c	MINON	面膜/面膜粉	74.0	0.0	日本	46.0	758.0	527.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2017-03-26	1234332-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	维生素A/胡萝卜素	31.0	0.0	美国	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	active
2017-04-15	1429160-68a3e5516d7a7dc21fbe0e7ee13bfc1c	MARC JACOBS 马克雅克布	女士香水	298.0	0.0	美国	18.0	924.0	725.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2017-05-09	1234139-68a3e5516d7a7dc21fbe0e7ee13bfc1c	Nature Made 莱萃美	复合维生素/矿物质	99.0	0.0	美国	20.0	63.0	30.0	NULL	NULL	NULL	NULL	NULL	NULL	active
2017-05-13	1390278-68a3e5516d7a7dc21fbe0e7ee13bfc1c	MINON	面膜/面膜粉	78.0	0.0	日本	NULL	58.0	52.0	NULL	NULL	NULL	NULL	NULL	NULL	active
